asset_id,name,szDecimals,maxLeverage,marginTableId,isDelisted
0,BTC,5,40,56,
1,ETH,4,25,55,
2,ATOM,2,5,5,
3,MATIC,1,20,20,True
4,DYDX,1,5,5,
5,SOL,2,20,54,
6,AVAX,2,10,52,
7,BNB,3,10,51,
8,APE,1,5,5,
9,OP,1,5,5,
10,LTC,2,10,52,
11,ARB,1,10,51,
12,DOGE,0,10,52,
13,INJ,1,5,5,
14,SUI,1,10,52,
15,kPEPE,0,10,52,
16,CRV,1,10,52,
17,LDO,1,5,5,
18,LINK,1,10,52,
19,STX,1,5,5,
20,RNDR,1,20,20,True
21,CFX,0,5,5,
22,FTM,0,10,10,True
23,GMX,2,3,3,
24,SNX,1,3,3,
25,XRP,0,20,53,
26,BCH,3,10,52,
27,APT,2,10,52,
28,AAVE,2,10,52,
29,COMP,2,5,5,
30,MKR,4,10,51,True
31,WLD,1,10,52,
32,FXS,1,5,5,True
33,HPOS,0,3,3,True
34,RLB,0,3,3,True
35,UNIBOT,3,3,3,True
36,YGG,0,3,3,
37,TRX,0,10,51,
38,kSHIB,0,10,51,
39,UNI,1,10,52,
40,SEI,0,5,5,
41,RUNE,1,5,5,
42,OX,0,3,3,True
43,FRIEND,1,3,3,True
44,SHIA,0,3,3,True
45,CYBER,1,3,3,True
46,ZRO,1,5,5,
47,BLZ,0,5,5,True
48,DOT,1,10,51,
49,BANANA,1,3,3,
50,TRB,2,3,3,
51,FTT,1,3,3,
52,LOOM,0,10,10,True
53,OGN,0,3,3,True
54,RDNT,0,5,5,True
55,ARK,0,3,3,
56,BNT,0,3,3,True
57,CANTO,0,5,5,True
58,REQ,0,3,3,True
59,BIGTIME,0,3,3,
60,KAS,0,3,3,
61,ORBS,0,3,3,True
62,BLUR,0,3,3,
63,TIA,1,5,5,
64,BSV,2,3,3,
65,ADA,0,10,52,
66,TON,1,10,51,
67,MINA,0,3,3,
68,POLYX,0,3,3,
69,GAS,1,3,3,
70,PENDLE,0,5,5,
71,STG,0,3,3,True
72,FET,0,5,5,
73,STRAX,0,10,10,True
74,NEAR,1,10,52,
75,MEME,0,3,3,
76,ORDI,2,3,3,
77,BADGER,1,5,5,True
78,NEO,2,5,5,
79,ZEN,2,5,5,
80,FIL,1,5,5,
81,PYTH,0,5,5,
82,SUSHI,1,3,3,
83,ILV,2,3,3,True
84,IMX,1,5,5,
85,kBONK,0,10,52,
86,GMT,0,3,3,
87,SUPER,0,3,3,
88,USTC,0,3,3,True
89,NFTI,1,3,3,True
90,JUP,0,10,51,
91,kLUNC,0,3,3,
92,RSR,0,3,3,
93,GALA,0,3,3,
94,JTO,0,5,5,
95,NTRN,0,3,3,True
96,ACE,2,3,3,
97,MAV,0,3,3,True
98,WIF,0,5,5,
99,CAKE,1,3,3,
100,PEOPLE,0,3,3,
101,ENS,2,5,5,
102,ETC,2,5,5,
103,XAI,1,3,3,
104,MANTA,1,3,3,
105,UMA,1,3,3,
106,ONDO,0,10,51,
107,ALT,0,3,3,
108,ZETA,1,3,3,
109,DYM,1,3,3,
110,MAVIA,1,3,3,True
111,W,1,5,5,
112,PANDORA,5,3,3,True
113,STRK,1,5,5,
114,PIXEL,0,3,3,True
115,AI,1,3,3,True
116,TAO,3,5,5,
117,AR,2,5,5,
118,MYRO,0,3,3,True
119,kFLOKI,0,5,5,
120,BOME,0,3,3,
121,ETHFI,1,5,5,
122,ENA,0,10,52,
123,MNT,1,5,5,
124,TNSR,1,3,3,
125,SAGA,1,3,3,
126,MERL,0,3,3,
127,HBAR,0,5,5,
128,POPCAT,0,3,3,
129,OMNI,2,3,3,True
130,EIGEN,2,5,5,
131,REZ,0,3,3,
132,NOT,0,3,3,
133,TURBO,0,3,3,
134,BRETT,0,3,3,
135,IO,1,3,3,
136,ZK,0,5,5,
137,BLAST,0,3,3,
138,LISTA,0,3,3,True
139,MEW,0,3,3,True
140,RENDER,1,5,5,
141,kDOGS,0,3,3,True
142,POL,0,5,5,
143,CATI,0,3,3,True
144,CELO,0,3,3,
145,HMSTR,0,3,3,
146,SCR,1,3,3,True
147,NEIROETH,0,5,5,True
148,kNEIRO,1,3,3,
149,GOAT,0,3,3,
150,MOODENG,0,3,3,
151,GRASS,1,3,3,
152,PURR,0,3,3,
153,PNUT,1,3,3,
154,XLM,0,5,5,
155,CHILLGUY,0,3,3,
156,SAND,0,5,5,
157,IOTA,0,3,3,
158,ALGO,0,5,5,
159,HYPE,2,10,52,
160,ME,1,3,3,
161,MOVE,0,3,3,
162,VIRTUAL,1,5,5,
163,PENGU,0,5,5,
164,USUAL,1,3,3,
165,FARTCOIN,1,10,52,
166,AI16Z,1,5,5,True
167,AIXBT,0,3,3,
168,ZEREBRO,0,3,3,True
169,BIO,0,3,3,
170,GRIFFAIN,0,3,3,
171,SPX,1,5,5,
172,S,0,5,5,
